source_idx,target_idx,weight
152,2279,0.747368574142456
154,277,0.6510923504829407
155,231,0.7608452439308167
156,906,0.7880693674087524
156,2346,0.7621966004371643
156,313,0.7507833242416382
156,2462,0.7425850629806519
156,2356,0.7293092608451843
157,640,0.732136607170105
157,2672,0.7320863008499146
157,1977,0.7005518078804016
157,867,0.694297194480896
158,364,0.8224796056747437
158,509,0.8156516551971436
158,1273,0.8044241666793823
158,469,0.8008252382278442
158,1543,0.8005955219268799
158,2338,0.7954351902008057
158,230,0.7930036187171936
160,1253,0.8137322664260864
160,2527,0.8115382194519043
160,2361,0.8094559907913208
160,1251,0.7981300354003906
160,2273,0.7882198095321655
160,2355,0.7843207120895386
160,2702,0.7828686833381653
160,2602,0.7806487083435059
160,323,0.7750926613807678
161,425,0.7570157647132874
161,1411,0.7420544624328613
161,1039,0.7000400424003601
161,202,0.6936272382736206
162,2402,0.7805758118629456
162,3028,0.7789865136146545
162,1987,0.7459481954574585
162,2667,0.7378256320953369
162,2756,0.730152428150177
162,1247,0.7270225286483765
163,3235,0.8030896186828613
163,2815,0.7281403541564941
163,3143,0.7259616851806641
164,242,0.7739554643630981
164,846,0.7680659890174866
164,1134,0.7322362661361694
165,2028,0.7679774165153503
166,2177,0.7412195205688477
166,2183,0.7072404623031616
166,539,0.6980713605880737
166,796,0.680126428604126
166,1845,0.6730595827102661
167,1759,0.7740241289138794
167,2137,0.7358006834983826
168,1949,0.7885386943817139
168,1441,0.6995404958724976
168,1777,0.6890168190002441
169,295,0.8416604995727539
169,1639,0.8186233043670654
169,550,0.767994225025177
170,579,0.8324175477027893
170,2393,0.824349045753479
170,2309,0.8161981701850891
170,1760,0.8146024346351624
170,993,0.8070747256278992
170,2431,0.8069959878921509
170,3235,0.8060731887817383
170,3173,0.7949284315109253
170,2693,0.7943404912948608
170,2389,0.7900826930999756
170,1550,0.7865433096885681
170,912,0.7860289216041565
170,758,0.7841292023658752
170,828,0.7797848582267761
170,1751,0.7791412472724915
171,1453,0.7596570253372192
171,1359,0.7363355755805969
171,1093,0.7337019443511963
172,405,0.5861069560050964
174,3337,0.7772712707519531
174,2072,0.7675468921661377
174,3278,0.7308346033096313
175,1725,0.6732509136199951
175,525,0.6564477682113647
176,1421,0.75475013256073
176,2759,0.6842069625854492
176,1949,0.676193356513977
177,2431,0.80971360206604
177,2389,0.7938311696052551
177,2004,0.7741473913192749
178,813,0.767657995223999
179,792,0.837357223033905
179,2518,0.8003016114234924
179,819,0.7915863990783691
179,1724,0.7896054983139038
179,2521,0.7673635482788086
179,1722,0.7319055795669556
179,2523,0.7284396886825562
179,825,0.7162113189697266
179,822,0.685612142086029
180,3073,0.6424846649169922
181,779,0.6824469566345215
182,1711,0.766569972038269
182,1826,0.7518879771232605
182,2340,0.7480219602584839
182,2570,0.7256627082824707
182,3015,0.7239466309547424
182,1504,0.7103279829025269
182,376,0.7068259716033936
183,341,0.7150559425354004
183,200,0.7150559425354004
183,2113,0.714003324508667
183,1556,0.7114747762680054
185,1163,0.814238965511322
185,1779,0.7797789573669434
185,1517,0.7785890102386475
185,2444,0.7778160572052002
185,381,0.7569580078125
186,1948,0.7847529649734497
186,320,0.7711953520774841
186,1752,0.7612036466598511
186,1883,0.7455090284347534
186,2061,0.7362064123153687
187,1404,0.7444972395896912
187,1392,0.7096081972122192
187,3237,0.705951988697052
187,3081,0.7054476737976074
187,1452,0.7051469087600708
188,859,0.7308714389801025
188,1911,0.7266323566436768
189,3080,0.7671388983726501
189,1091,0.7449545860290527
189,1815,0.7272939682006836
190,1224,0.6614112854003906
191,1525,0.6879956126213074
191,794,0.6876881122589111
191,375,0.6800282001495361
191,1982,0.6704114675521851
192,2734,0.7260509729385376
192,2595,0.6826850175857544
193,2352,0.6962289810180664
194,2511,0.7900431752204895
194,514,0.7647064924240112
194,3075,0.7638795375823975
194,255,0.74786376953125
194,2747,0.7442941665649414
194,1559,0.7440003156661987
194,1981,0.7438135147094727
194,2769,0.7422708868980408
194,1985,0.7374858856201172
195,569,0.6949291229248047
196,438,0.7454685568809509
197,1471,0.7466614246368408
197,882,0.7098389863967896
198,1217,0.7211035490036011
198,1616,0.7125238180160522
198,1504,0.6994611024856567
199,916,0.7575177550315857
199,543,0.7522803544998169
199,2672,0.7298599481582642
199,549,0.726765513420105
199,1841,0.725602924823761
200,341,0.9999998807907104
200,3085,0.7683297395706177
200,3266,0.7315504550933838
200,235,0.7153774499893188
201,2072,0.7778173685073853
201,2945,0.7501136064529419
201,1623,0.730536937713623
201,3242,0.7183976173400879
201,2927,0.7167272567749023
202,1224,0.6945177316665649
202,1039,0.6829404830932617
203,1071,0.8023021221160889
203,3141,0.8011688590049744
203,1127,0.7906561493873596
203,2604,0.7867954969406128
203,738,0.7802072763442993
203,291,0.7778708934783936
203,2358,0.777553915977478
203,954,0.7766621708869934
204,777,0.7125253081321716
204,1713,0.6821388006210327
205,2401,0.8427879214286804
205,987,0.8332962393760681
205,1202,0.8253396153450012
205,436,0.8253171443939209
205,2289,0.8225446343421936
205,2589,0.8193881511688232
205,3068,0.8179504871368408
205,2563,0.8143441081047058
205,3282,0.8074949979782104
205,1586,0.8041053414344788
205,3136,0.79305100440979
205,1570,0.79305100440979
206,2303,0.823283314704895
206,273,0.8096311092376709
206,1966,0.7935167551040649
206,3235,0.7907878160476685
206,2701,0.7831842303276062
206,613,0.7742208242416382
206,1290,0.7709421515464783
206,2280,0.7637991905212402
207,207,1.0
207,3156,0.7360397577285767
209,2919,0.7547808885574341
210,418,0.7986829280853271
210,1325,0.7809785008430481
210,1069,0.747988224029541
210,228,0.7420547008514404
210,2341,0.741675615310669
211,2119,0.7279089689254761
213,2701,0.7745962142944336
213,1963,0.7527005672454834
213,1013,0.7426403164863586
213,2815,0.7354156374931335
213,824,0.7269600629806519
214,1478,0.7142007350921631
215,2714,0.7706798911094666
215,1754,0.7479480504989624
215,1163,0.7297889590263367
216,882,0.7780459523200989
216,1963,0.7537065744400024
216,1219,0.7341933250427246
216,2156,0.7183198928833008
216,3261,0.7090187072753906
216,3340,0.7072832584381104
216,1965,0.7069112062454224
217,2041,0.7235082387924194
218,1886,0.6944122314453125
218,3061,0.6738166809082031
218,2879,0.6710568070411682
219,1105,0.790924072265625
219,2499,0.7882910966873169
219,2461,0.7748894691467285
219,426,0.7746442556381226
219,2356,0.767033576965332
219,2656,0.7651296854019165
219,2753,0.7630647420883179
219,2903,0.7580543756484985
219,857,0.7559652328491211
219,241,0.7537729740142822
219,906,0.7536762356758118
